Entity;Type;tvb:type;Superclass(es);tvb:mathematical_notation;is_CVAR_of;is_argument_of;is_VOI_of;surrogate;has_state_variable;is_derivative_of;has_argument;equals;depends_on;is_boolean_of;has_function;is_coefficient_of;regional_surrogate;is_parameter_of;is_state_variable_of;surrogate_of;has_derivative;has_parameter;contains;is_function_of;owl:topObjectProperty;is_a;has_range;has_default;identifier;publicMeSHNote;dc:description;tvb:sourcecode;tvb:dynamicalConfiguration;tvb:fullName;tvb:category;tvb:GO_ID;tvb:tuto;tvb:expression;tvb:wiki;tvb:acronym;tvb:unit;tvb:documentation;tvb:references;tvb:equation;tvb:dynamicsExploration;tvb:functionType;tvb:shortName;tvb:synonym;rdfs:label;skos:definition;
iEEG / SEEG;Class;;Biophysical Monitors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://docs.thevirtualbrain.org/api/tvb.simulator.monitors.html#tvb.simulator.monitors.iEEG;;;;;;;iEEG / SEEG;Intracerebral EEG (iEEG) comprises invasive recording techniques such as stereotactic-EEG (sEEG) and electrocorticography (ECoG) in which depth electrodes and subdural grid electrodes, respectively, are used to record the electrical activity directly from the brain.;
BOLD;Class;;Biophysical Monitors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://docs.thevirtualbrain.org/api/tvb.simulator.monitors.html#tvb.simulator.monitors.Bold;;;;;;;BOLD;Currently, in The Virtual Brain BOLD responses are predicted by convolving the (down-sampled) time-course of the burst of neural activity with a shift-invariant linear temporal Finite Impulse Response (FIR) that represents the Haemodynamic Response Function (HRF). There are 4 kernels available;
MEG;Class;;Biophysical Monitors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://docs.thevirtualbrain.org/api/tvb.simulator.monitors.html#tvb.simulator.monitors.MEG;;;;;;;MEG;;
Global Connectivity;Class;;Brain Network Model;;;;;;;;;;;;;;;;;;;;Global Coupling Scaling	Global Coupling Function	Connectivity Matrix;;;;;;;;;;;;;;;;;"gc; lrc";;;"Qubbaj M and Jirsa VK. (2007) Neural field dynamics with heterogeneous connection topology. Phys Rev Lett 98.23, p. 238102. https://doi.org/10.1103/PhysRevLett.98.238102

Jirsa VK. (2009) Neural field dynamics with local and global connectivity and time delay. Philos Trans R Soc Lond A; 367.1891, p. 1131–1143. https://doi.org/10.1098/rsta.2008.0260

Nunez  PL. (1974) The brain wave equation: A model for the EEG. Math Biosci; 21: 279–297. https://doi.org/10.1016/0025-5564(74)90020-0

Sanz-Leon P, Knock SA,Woodman MM, Domide L, Mersmann J, McIntosh AR, Jirsa VK. (2013) The Virtual Brain: a simulator of primate brain network dynamics. Front Neuroinform; 7-10. https://doi.org/10.3389/fninf.2013.00010

Sanz-Leon P, Knock SA, Spiegler A, Jirsa, VK. (2015) Mathematical framework for large-scale brain network modeling in The Virtual Brain. NeuroImage; 111: 385-430. http://dx.doi.org/10.1016/j.neuroimage.2015.01.002

Wilson H and Cowan J. (1972) Excitatory and inhibitory inter- actions in localized populations of model neurons. Biophys J; 12(1): 1–24. https://dx.doi.org/10.1016/S0006-3495(72)86068-5";;;;;Long-Range Connectivity;Global Connectivity;"Global Connectivity describes the incoming activity coming from the synaptic interactions at the macroscopic level between remote brains regions, i.e. intercortical fibers, given by the long-range white matter tracts of the order of a few centimeters (Sanz-Leon et al., 2013, 2015).

Global Connectivity introduces axonal conduction delays due to the finite propagation speed of neural activity along white matter tracts, that depend on the length of the fiber tract connecting two nodes and the transmission speed (Wilson and Cowan, 1972; Nunez, 1974).


Note:
------
- The long-range fibers comprise the axonal processes of pyramidal cells, therefore, by convention, such connection is an excitatory (source) to excitatory (target) interaction.
However, it is important to note that the activity coming from a given region (source) may act upon inhibitory populations (target). Thus, the incoming activity transmitted through long-range fibers can generate inhibition in the target region, through excitation of the inhibitory population,

- Long-range connectivity are said to be heterogeneous (translationally variant; Qubbaj & Jirsa, 2007; Jirsa, 2009),

- The activity propagating through long-range connections from region j to region i is the averaged activity of the set of vertices in j.";
Local Connectivity;Class;;Brain Network Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"lc; src";;;"Jirsa V & Hacken, H. (1996) Field theory of electromagnetic brain activity. Phys Rev Lett; 77 (5), 960–963. https://doi.org/10.1103/PhysRevLett.77.960

Robinson P, Rennie C, Wright J. (1997) Propagation and stability of waves of electrical
activity in the cerebral cortex. Phys Rev E; 56, 826–840. https://doi.org/10.1103/PhysRevE.56.826

Sanz-Leon P, Knock SA,Woodman MM, Domide L, Mersmann J, McIntosh AR, Jirsa VK. (2013) The Virtual Brain: a simulator of primate brain network dynamics. Front Neuroinform; 7-10. https://doi.org/10.3389/fninf.2013.00010

Sanz-Leon P, Knock SA, Spiegler A, Jirsa, VK. (2015) Mathematical framework for large-scale brain network modeling in The Virtual Brain. NeuroImage; 111: 385-430. http://dx.doi.org/10.1016/j.neuroimage.2015.01.002

Wright JJ, Liley DTJ. (1996) Dynamics of the brain at global and microscopic scales:
neural networks and the EEG. Behav Brain Sci; 19 (02), 285–295. https://doi.org/10.1017/s0140525x00042679";;;;;Short-Range Connectivity;Local Connectivity;"Local Connectivity describes the incoming activity coming from the synaptic interactions at the mesoscopic level between vertices embedded within one cortical brain region, i.e. intracortical fibers, given by the short-range white matter tracts of the order of a few millimeters (Sanz-Leon et al., 2013, 2015).

Note:
------
- The current implementation in TVB treats signal transmission via local connections as instantaneous, i.e., the delays are zero,

- Short-range connections could be of all types, that is, excitatory-excitatory, excitatory-inhibitory, inhibitory-inhibitory, inhibitory-excitatory,

- Short-range connections have been modelled as being locally isotropic (rotationally invariant) and homogeneous (translationally invariant; Jirsa & Hacken, 1996; Robinson et al., 1997; Wright & Liley, 1996).";
Local Neural Dynamics;Class;;Brain Network Model;;;;;;;;;;;;;;;;;;;;Model Parameters Catalogue	Models;;;;;;;;;;;;;;;;;;;;Freeman WJ. (1975) Mass Action in the Nervous System. New York: Academic Press.;;;;;;Local Neural Dynamics;Local Neural Dynamics is the intrinsic dynamics of the network node that is described by a coupled set of (non-)linear differential equations (Freeman, 1975).;
Noise;Class;;Brain Network Model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Noise;"Noise is

In TVB, noise is introduced via the expression in the Langevin equation


Note:
------
- By default, the Noise is assumed to be additive Gaussian, with unit variance.
- In the computational implementation of TVB, the type of noise and its temporal correlations can be specified independently for each node, state-variable and mode in the network.


TO DO
dont forget to add that in TVB, dispersion is sqrt of noise variance (Manella)";
Stimulus;Class;;Brain Network Model;;;;;;;;;;;;;;;;;;;;Spatiotemporal Stimulus	Region Stimulus	Surface Stimulus;;;;;;;;;;;;;;;;;;;;;;;;;;Stimulus;Stimulus describes;
Tract Lengths Matrix;Class;;Connectivity Matrix;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d;;;;;;;;;Tract Lengths Matrix;Tract Lengths Matrix is a weighted graph that define the distance between two distant brain regions, at the scale of tenths of centimeters, and sets the time delays via finite signal transmission speed.;
Weights Matrix;Class;;Connectivity Matrix;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"C; w; u";;;;;;;;;Weights Matrix;"Weights Matrix is a weighted graph that define the connection strengths between two distant brain regions.

The values of a weights matrix can vary depending on the tractography extraction methods employed (Bastiani et al. 2012; Iturria-Medina et al. 2007; Iturria-Medina et al. 2011).";
Triangles;Class;;Cortical Surface;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Triangles Mesh;Triangles;Triangles are the set of faces of the cortical mesh.;
Vertices;Class;;Cortical Surface;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vertices;Vertices are points in the 3D space on the cortical surface where two or more line segments meet: they form a corner.;
Space Reduction Monitors;Class;;Data Reduction Monitors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Space Reduction Monitors;;
State-Space Reduction Monitors;Class;;Data Reduction Monitors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;State-Space Reduction Monitors;State-Space Reduction Monitors selects a subset of models state-variables to record.;
Time Reduction Monitors;Class;;Data Reduction Monitors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time Reduction Monitors;;
a_cDiff;Class;;Difference Coupling Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rescales the connection strength;a_cDiff;;
f_G2D;Class;NMM_parameter;Dynamical Parameter	Generic2dOscillator;f;;;;;;;;;;;;V_G2D;;Vdot_G2D	Generic2dOscillator;;;;;;;;;"[-5., 5.]""^^xsd:string""";1.0;;;;;;;Dynamical Parameter;;;;;;;;;;;;;;f_G2D;"f_G2D is the coefficient of the cubic V_G2D term in the first state-equation Vdot_G2D.

This coefficient affects the steepness of the N-shaped cubic V_G2D-nullcline in the phase-plane. When f_G2D is small, the cubic is steeper, and when f_G2D is large, it is flatter. While, when f_G2D < 0, the cubic is inverted.";
g_G2D;Class;NMM_parameter;Dynamical Parameter	Generic2dOscillator;g;;;;;;;;;;;;V_G2D;;Generic2dOscillator	Vdot_G2D;;;;;;;;;"[-5., 5.]""^^xsd:string""";1.0;;;;;;;Dynamical Parameter;;;;;;;;;;;;;;g_G2D;"g_G2D is the coefficient of the linear V_G2D term in the first state-equation Vdot_G2D.

This coefficient rotates the N-shaped cubic V_G2D-nullcline in the phase-plane.";
b_G2D;Class;NMM_parameter;Dynamical Parameter	Generic2dOscillator	Feedback Scaling;b;;;;;;;;;;;;V_G2D;;Generic2dOscillator	Wdot_G2D;;regulation of retrograde trans-synaptic signaling by endocanabinoid	neuronal action potential back-propagation;;;;;;;"[-20., 15.]""^^xsd:string""";-10.0;;;;;;;"Dynamical Parameter; Feedback Scaling";;;;;;;;;;;;;;b_G2D;"b_G2D is the coefficient of the linear feedback coupling term of the state-variable V_G2D to the second state-equation Wdot_G2D.

This coefficient rotates the configurable linear (i.e., for c_G2D = 0) W_G2D-nullcline in the phase-plane or shifts the configurable quadratic W_G2D-nullcline, otherwise.";
c_G2D;Class;NMM_parameter;Dynamical Parameter	Generic2dOscillator	Feedback Scaling;c;;;;;;;;;;;;V_G2D;;Wdot_G2D;;;;;;;;;"[-10., 10.]""^^xsd:string""";0.0;;;;;;;"Dynamical Parameter; Feedback Scaling";;;;;;;;;;;;;;c_G2D;"c_G2D is the coefficient of the quadratic feedback coupling term of the state-variable V_G2D to the second state-equation Wdot_G2D.

This coefficient scales the configurable quadratic W_G2D-nullcline in the phase-plane.";
d_G2D;Class;NMM_parameter;Dynamical Parameter	Generic2dOscillator	Time Scaling;d;;;;;;;;;;;;W_G2D	I_G2D	V_G2D;;Wdot_G2D	Vdot_G2D	Generic2dOscillator;;;;;;;;;"[0.0001, 1.0]""^^xsd:string""";0.02;;;;;;;"Dynamical Parameter; Time Scale";;;;;;;;;;;;;;d_G2D;"d_G2D is a scaling factor of the full system.

This scaling sets the intrinsic frequency of the oscillations.";
a_G2D;Class;NMM_parameter;Dynamical Parameter	Generic2dOscillator	Excitability;a;;;;;;;;;;;;;;Generic2dOscillator	Wdot_G2D;;;;;;;;;"[-5., 5.]""^^xsd:string""";-2.0;;;;;;;Parameter;;;;;;;;;;;;Excitability;;a_G2D;"a_G2D is a constant parameter in the second state-equation Wdot_G2D.

This constant shifts the configurable W_G2D nullclines in the phase-plane with respect to the x-axis, allowing to scale the damping of the oscillations.";
beta_G2D;Class;NMM_parameter;Dynamical Parameter	Generic2dOscillator	Excitability;\beta;;;;;;;;;;;;W_G2D;;Wdot_G2D	Generic2dOscillator;;;;;;;;;"[-5., 5.]""^^xsd:string""";1.0;;;;;;;"Dynamical Parameter; Excitability";;;;;;;;;;;;;;beta_G2D;"beta_G2D is the coefficient of the linear W_G2D term in the second state-equation Wdot_G2D.

This coefficient rotates the configurable linear W_G2D nullcline or shifts the configurable quadratic W_G2D nullcline.";
e_G2D;Class;NMM_parameter;Dynamical Parameter	Generic2dOscillator	Excitability;e;;;;;;;;;;;;V_G2D;;Vdot_G2D	Generic2dOscillator;;;;;;;;;"[-5., 5.]""^^xsd:string""";3.0;;;;;;;"Dynamical Parameter; Excitable Parameter";;;;;;;;;;;;;;e_G2D;"e_G2D is the coefficient of the quadratic V_G2D term in the first state-equation Vdot_G2D.

This coefficient shifts the N-shaped cubic V_G2D-nullcline in the phase-plane with respect to the x-axis, allowing to scale the damping of the oscillations. e_G2D is thus an excitable parameter that can represent the neural membrane excitability.";
